id,entity_type,entity_id,source_name,source_record_id,source_url,fetched_at,raw_hash,notes
source_000001,actress,actress_000001,moodyz-official,actress:855540,https://moodyz.com/actress/detail/855540,2026-08-31T14:36:25.486Z,67b1d54b62410488d86504162e2f850667d6a93d70ef172bcd908fcd1372add9,
source_000002,work,work_000001,moodyz-official,work:MDVR434,https://moodyz.com/works/detail/MDVR434,2026-08-31T14:18:50.058Z,a573fff042a455be7c6c568e130149aef2b5cc4f2a5a7e02680c46839691bc71,
source_000003,actress,actress_000002,javinfo-fanza,fanza:ipzz00597:actress,,2026-09-01T06:00:00Z,2f144f7959a577622b3d5e613254e27108c9af05d657646b18bb7d7cf91460f6,
source_000004,work,work_000002,javinfo-fanza,fanza:ipzz00597,,2026-09-01T06:00:00Z,c6eea09a0ca201e4de5842fd46f2add11f3a8a11e7af794492da1c69c784fc08,
source_000005,work,work_000003,metatube-bulk,JavBus:SSIS-001,https://www.javbus.com/ja/SSIS-001,2026-09-04T08:56:34.680Z,649f763a9c840d75e57b0354ad115a2378cd3b8bf31d8ddd6b3dabf340fae324,通过 MetaTube server 获取；上游 provider=JavBus；MetaTube 聚合多源，本记录仅代表 JavBus 一家；日文源
source_000006,work,work_000004,metatube-bulk,JavBus:MIDE-345,https://www.javbus.com/ja/MIDE-345,2026-09-04T08:56:36.689Z,eccdb0254fc2dc9f9233374d1dbbda1040131512909cad9a4ef2249c1d41ec7b,通过 MetaTube server 获取；上游 provider=JavBus；MetaTube 聚合多源，本记录仅代表 JavBus 一家；日文源
source_000007,work,work_000005,metatube-bulk,JavBus:IPX-001,https://www.javbus.com/ja/IPX-001,2026-09-04T08:56:38.702Z,eea891d314431d5bf7d885593d966a380b273920451f2055aa5d08cfc8e0dca7,通过 MetaTube server 获取；上游 provider=JavBus；MetaTube 聚合多源，本记录仅代表 JavBus 一家；日文源
source_000008,work,work_000006,metatube-bulk,JavBus:WANZ-912,https://www.javbus.com/ja/WANZ-912,2026-09-04T08:56:40.712Z,f72c0ba9de8b34a573d01afe61328ec72130c5ca56af151074fe426e1c0aa146,通过 MetaTube server 获取；上游 provider=JavBus；MetaTube 聚合多源，本记录仅代表 JavBus 一家；日文源
