work_id,genre_id
work_000039,genre_000011
work_000039,genre_000019
work_000039,genre_000020
work_000039,genre_000014
work_000040,genre_000029
work_000040,genre_000010
work_000040,genre_000011
work_000040,genre_000019
work_000040,genre_000020
work_000040,genre_000014
work_000041,genre_000067
work_000041,genre_000068
work_000041,genre_000020
work_000042,genre_000069
work_000042,genre_000023
work_000043,genre_000026
work_000043,genre_000070
work_000043,genre_000027
work_000043,genre_000071
work_000043,genre_000072
work_000043,genre_000073
work_000043,genre_000003
work_000043,genre_000074
work_000043,genre_000075
work_000043,genre_000076
work_000043,genre_000077
work_000043,genre_000078
work_000043,genre_000079
work_000043,genre_000080
work_000043,genre_000081
work_000043,genre_000082
work_000044,genre_000042
work_000044,genre_000083
work_000044,genre_000084
work_000044,genre_000085
work_000044,genre_000027
work_000044,genre_000086
work_000044,genre_000087
work_000044,genre_000088
work_000044,genre_000089
work_000044,genre_000001
work_000044,genre_000090
work_000044,genre_000091
work_000044,genre_000092
work_000045,genre_000093
work_000045,genre_000009
work_000045,genre_000026
work_000045,genre_000019
work_000045,genre_000087
work_000045,genre_000094
work_000045,genre_000002
work_000045,genre_000089
work_000045,genre_000007
work_000045,genre_000084
work_000045,genre_000095
work_000045,genre_000096
